"","VerbPath","CAMEO"
"44","[[A,semagent,->],[W,provide,verb],[A,prep_to,<-]]","042"
"45","[[A,semagent,->],[W,kidnap,verb],[A,prep_in,<-]]","042"
"46","[[A,semagent,->],[W,warn,verb],[A,prep_in,<-]]","042"
"47","[[A,semagent,->],[W,lead,verb],[A,prep_in,<-]]","042"
"48","[[A,semagent,->],[W,oppose,verb],[A,dobj,<-],[W,invasion,noun],[A,prep_of,<-]]","042"
"49","[[A,semagent,->],[W,arrest,verb],[A,prep_in,<-]]","042"
"50","[[A,semagent,->],[W,broker,noun],[A,prep_in,<-]]","042"
"51","[[A,semagent,->],[W,join,verb],[A,dobj,<-]]","051"
"52","[[A,semagent,->],[W,call,verb],[A,prep_for,<-]]","020"
"53","[[A,semagent,->],[W,member,noun],[A,prep_of,<-]]","051"
"54","[[A,semagent,->],[W,urge,verb],[A,dobj,<-]]","020"
"55","[[A,semagent,->],[W,push,verb],[A,prep_for,<-]]","051"
"56","[[A,semagent,->],[W,tell,verb],[A,dobj,<-]]","051"
"57","[[A,semagent,->],[W,welcome,verb],[A,dobj,<-]]","051"
"58","[[A,semagent,->],[W,seek,verb],[A,dobj,<-]]","051"
"59","[[A,semagent,->],[W,support,verb],[A,dobj,<-]]","051"
"60","[[A,semagent,->],[W,veto,verb],[A,dobj,<-]]","129"
"61","[[A,semagent,->],[W,impose,verb],[A,prep_after,<-],[W,invasion,noun],[A,prep_of,<-]]","051"
"62","[[A,semagent,->],[W,want,verb],[A,dobj,<-]]","051"
"63","[[A,semagent,->],[W,call,verb],[A,prep_on,<-]]","020"
"64","[[A,semagent,->],[W,submit,verb],[A,prep_to,<-]]","051"
"65","[[A,semagent,->],[W,hold,verb],[A,dobj,<-]]","051"
"66","[[A,semagent,->],[W,country,noun],[A,infmod,<-],[W,sign,verb],[A,prep_with,<-]]","051"
"67","[[A,semagent,->],[W,block,verb],[A,dobj,<-]]","051"
"68","[[A,semagent,->],[W,hold,verb],[A,dobj,<-],[W,presidency,noun],[A,prep_of,<-]]","051"
"69","[[A,semagent,->],[W,ask,verb],[A,dobj,<-]]","051"
"70","[[A,semagent,->],[W,take,verb],[A,dobj,<-]]","051"
"71","[[A,semagent,->],[W,propose,verb],[A,dobj,<-]]","020"
"72","[[A,semagent,->],[W,back,verb],[A,dobj,<-]]","032"
"73","[[A,semagent,->],[W,present,verb],[A,prep_to,<-]]","051"
"74","[[A,semagent,->],[W,circulate,verb],[A,dobj,<-]]","051"
"75","[[A,semagent,->],[W,oppose,verb],[A,dobj,<-]]","051"
"76","[[A,semagent,->],[W,impose,verb],[A,advcl,<-],[W,invade,verb],[A,dobj,<-]]","051"
"77","[[A,semagent,->],[W,press,verb],[A,prep_for,<-]]","051"
"78","[[A,semagent,->],[W,hail,verb],[A,dobj,<-]]","051"
"79","[[A,semagent,->],[W,press,verb],[A,dobj,<-]]","051"
"80","[[A,semagent,->],[W,lead,verb],[A,dobj,<-]]","051"
"81","[[A,semagent,->],[W,introduce,verb],[A,dobj,<-]]","051"
"82","[[A,semagent,->],[W,say,verb],[A,dobj,<-]]","051"
"83","[[A,semagent,->],[W,sign,verb],[A,prep_with,<-]]","057"
"84","[[A,semagent,->],[W,lose,verb],[A,dobj,<-]]","051"
"85","[[A,semagent,->],[W,attend,verb],[A,dobj,<-]]","042"
"86","[[A,semagent,->],[W,apply,verb],[A,prep_for,<-]]","051"
"87","[[A,semagent,->],[W,urge,verb],[A,xcomp,<-],[W,cooperate,verb],[A,prep_with,<-]]","051"
"88","[[A,semagent,->],[W,hold,verb],[A,dobj,<-],[W,presidency,noun],[A,poss,<-]]","051"
"89","[[A,semagent,->],[W,call,verb],[A,dobj,<-]]","051"
"90","[[A,semagent,->],[W,say,verb],[A,prep_at,<-]]","051"
"91","[[A,semagent,->],[W,contribute,verb],[A,prep_to,<-]]","051"
"92","[[A,semagent,->],[W,start,verb],[A,prep_with,<-]]","051"
"93","[[A,semagent,->],[W,discuss,verb],[A,dobj,<-]]","046"
"94","[[A,semagent,->],[W,push,verb],[A,dobj,<-]]","051"
"95","[[A,semagent,->],[W,contributor,noun],[A,prep_to,<-]]","051"
"96","[[A,semagent,->],[W,hope,verb],[A,xcomp,<-],[W,join,verb],[A,dobj,<-]]","030"
"97","[[A,semagent,->],[W,say,verb],[A,ccomp,<-],[W,support,verb],[A,dobj,<-]]","051"
"98","[[A,semagent,->],[W,call,verb],[A,prep_for,<-],[W,meeting,noun],[A,prep_of,<-]]","051"
"99","[[A,semagent,->],[W,enter,verb],[A,dobj,<-]]","051"
"100","[[A,semagent,->],[W,say,verb],[A,ccomp,<-],[W,seek,verb],[A,dobj,<-]]","051"
"101","[[A,semagent,->],[W,kill,verb],[A,dobj,<-]]","190"
"102","[[A,semagent,->],[W,invade,verb],[A,dobj,<-]]","190"
"103","[[A,semagent,->],[W,withdraw,verb],[A,prep_from,<-]]","0874"
"104","[[A,semagent,->],[W,kill,verb],[A,prep_in,<-]]","190"
"105","[[A,semagent,->],[W,capture,verb],[A,prep_from,<-]]","190"
"106","[[A,semagent,->],[W,enter,verb],[A,dobj,<-]]","190"
"107","[[A,semagent,->],[W,launch,verb],[A,prep_against,<-]]","190"
"108","[[A,semagent,->],[W,launch,verb],[A,prep_in,<-]]","190"
"109","[[A,semagent,->],[W,send,verb],[A,prep_into,<-]]","190"
"110","[[A,semagent,->],[W,launch,verb],[A,prep_on,<-]]","190"
"111","[[A,semagent,->],[W,release,verb],[A,dobj,<-]]","084"
"112","[[A,semagent,->],[W,bomb,verb],[A,dobj,<-]]","190"
"113","[[A,semagent,->],[W,seal,verb],[A,dobj,<-]]","190"
"114","[[A,semagent,->],[W,attack,verb],[A,dobj,<-]]","190"
"115","[[A,semagent,->],[W,move,verb],[A,prep_into,<-]]","192"
"116","[[A,semagent,->],[W,seize,verb],[A,prep_from,<-]]","190"
"117","[[A,semagent,->],[W,impose,verb],[A,prep_on,<-]]","190"
"118","[[A,semagent,->],[W,set,verb],[A,dobj,<-],[W,zone,noun],[A,prep_in,<-]]","190"
"119","[[A,semagent,->],[W,raid,verb],[A,dobj,<-]]","190"
"120","[[A,semagent,->],[W,occupy,verb],[A,dobj,<-]]","190"
"121","[[A,semagent,->],[W,shoot,verb],[A,dobj,<-]]","193"
"122","[[A,semagent,->],[W,pull,verb],[A,prep_out_of,<-]]","190"
"123","[[A,semagent,->],[W,strike,verb],[A,dobj,<-]]","190"
"124","[[A,semagent,->],[W,destroy,verb],[A,dobj,<-]]","190"
"125","[[A,semagent,->],[W,capture,verb],[A,dobj,<-]]","190"
"126","[[A,semagent,->],[W,bomb,verb],[A,prep_in,<-]]","190"
"127","[[A,semagent,->],[W,fire,verb],[A,prep_at,<-]]","190"
"128","[[A,semagent,->],[W,free,verb],[A,dobj,<-]]","190"
"129","[[A,semagent,->],[W,launch,verb],[A,prep_into,<-]]","190"
"130","[[A,semagent,->],[W,fire,verb],[A,prep_in,<-]]","190"
"131","[[A,semagent,->],[W,seize,verb],[A,dobj,<-]]","173"
"132","[[A,semagent,->],[W,attack,verb],[A,prep_in,<-]]","190"
"133","[[A,semagent,->],[W,cross,verb],[A,prep_into,<-]]","190"
"134","[[A,semagent,->],[W,hit,verb],[A,dobj,<-]]","190"
"135","[[A,semagent,->],[W,strike,verb],[A,prep_in,<-]]","190"
"136","[[A,semagent,->],[W,wound,verb],[A,prep_in,<-]]","190"
"137","[[A,semagent,->],[W,carry,verb],[A,prep_in,<-]]","190"
"138","[[A,semagent,->],[W,close,verb],[A,dobj,<-]]","190"
"139","[[A,semagent,->],[W,pound,verb],[A,dobj,<-]]","190"
"140","[[A,semagent,->],[W,hold,verb],[A,dobj,<-]]","190"
"141","[[A,semagent,->],[W,occupy,verb],[A,prep_in,<-]]","190"
"142","[[A,semagent,->],[W,annex,verb],[A,dobj,<-]]","190"
"143","[[A,semagent,->],[W,hit,verb],[A,prep_in,<-]]","190"
"144","[[A,semagent,->],[W,fly,verb],[A,prep_over,<-]]","190"
"145","[[A,semagent,->],[W,kill,verb],[A,dobj,<-],[W,Palestinians,noun],[A,prep_in,<-]]","190"
"146","[[A,semagent,->],[W,arrest,verb],[A,dobj,<-]]","173"
"147","[[A,semagent,->],[W,leave,verb],[A,dobj,<-]]","190"
"148","[[A,semagent,->],[W,fire,verb],[A,prep_on,<-]]","190"
"149","[[A,semagent,->],[W,pull,verb],[A,prep_from,<-]]","190"
"150","[[A,semagent,->],[W,roll,verb],[A,prep_into,<-]]","192"
"151","[[A,semagent,->],[W,meet,verb],[A,prep_with,<-]]","040"
"152","[[A,semagent,->],[W,visit,verb],[A,dobj,<-]]","042"
"153","[[A,semagent,->],[W,arrive,verb],[A,prep_in,<-]]","042"
"154","[[A,semagent,->],[W,meet,verb],[A,dobj,<-]]","042"
"155","[[A,semagent,->],[W,hold,verb],[A,prep_with,<-]]","042"
"156","[[A,semagent,->],[W,send,verb],[A,prep_to,<-]]","042"
"157","[[A,semagent,->],[W,leave,verb],[A,prep_for,<-]]","036"
"158","[[A,semagent,->],[W,tell,verb],[A,dobj,<-]]","042"
"159","[[A,semagent,->],[W,make,verb],[A,prep_to,<-]]","042"
"160","[[A,semagent,->],[W,praise,verb],[A,dobj,<-]]","051"
"161","[[A,semagent,->],[W,pay,verb],[A,prep_to,<-]]","042"
"162","[[A,semagent,->],[W,leave,verb],[A,dobj,<-]]","042"
"163","[[A,semagent,->],[W,partner,noun],[A,poss,<-]]","042"
"164","[[A,semagent,->],[W,urge,verb],[A,dobj,<-]]","020"
"165","[[A,semagent,->],[W,return,verb],[A,prep_to,<-]]","042"
"166","[[A,semagent,->],[W,be,verb],[A,prep_in,<-]]","042"
"167","[[A,semagent,->],[W,travel,verb],[A,prep_to,<-]]","042"
"168","[[A,semagent,->],[W,congratulate,verb],[A,dobj,<-]]","051"
"169","[[A,semagent,->],[W,arrive,verb],[A,prep_to,<-]]","042"
"170","[[A,semagent,->],[W,meet,verb],[A,prep_in,<-]]","040"
"171","[[A,semagent,->],[W,fly,verb],[A,prep_to,<-]]","036"
"172","[[A,semagent,->],[W,discuss,verb],[A,prep_with,<-]]","046"
"173","[[A,semagent,->],[W,say,verb],[A,prep_with,<-]]","042"
"174","[[A,semagent,->],[W,arrive,verb],[A,prep_with,<-]]","042"
"175","[[A,semagent,->],[W,leave,verb],[A,prep_to,<-]]","042"
"176","[[A,semagent,->],[W,begin,verb],[A,prep_to,<-]]","042"
"177","[[A,semagent,->],[W,meet,verb],[A,prepc_with,<-],[W,visit,verb],[A,dobj,<-]]","042"
"178","[[A,semagent,->],[W,say,verb],[A,prep_in,<-]]","042"
"179","[[A,semagent,->],[W,arrive,verb],[A,prep_for,<-],[W,talk,noun],[A,prep_with,<-]]","042"
"180","[[A,semagent,->],[W,head,verb],[A,prep_to,<-]]","042"
"181","[[A,semagent,->],[W,press,verb],[A,dobj,<-]]","042"
"182","[[A,semagent,->],[W,hold,verb],[A,prep_in,<-]]","042"
"183","[[A,semagent,->],[W,say,verb],[A,dobj,<-]]","042"
"184","[[A,semagent,->],[W,begin,verb],[A,prep_with,<-]]","042"
"185","[[A,semagent,->],[W,go,verb],[A,prep_to,<-]]","042"
"186","[[A,semagent,->],[W,offer,verb],[A,prep_to,<-]]","042"
"187","[[A,semagent,->],[W,be,verb],[A,xcomp,<-],[W,meet,verb],[A,prep_with,<-]]","042"
"188","[[A,semagent,->],[W,assure,verb],[A,dobj,<-]]","030"
"189","[[A,semagent,->],[W,call,verb],[A,prep_on,<-]]","020"
"190","[[A,semagent,->],[W,ask,verb],[A,dobj,<-]]","042"
"191","[[A,semagent,->],[W,work,verb],[A,prep_with,<-]]","042"
"192","[[A,semagent,->],[W,say,verb],[A,prep_to,<-]]","042"
"193","[[A,semagent,->],[W,due,adj],[A,prep_in,<-]]","042"
"194","[[A,semagent,->],[W,thank,verb],[A,dobj,<-]]","051"
"195","[[A,semagent,->],[W,welcome,verb],[A,dobj,<-]]","051"
"196","[[A,semagent,->],[W,extend,verb],[A,prep_to,<-]]","042"
"197","[[A,semagent,->],[W,arrive,verb],[A,prep_for,<-],[W,visit,noun],[A,prep_to,<-]]","042"
"198","[[A,semagent,->],[W,say,verb],[A,ccomp,<-],[W,visit,verb],[A,dobj,<-]]","042"
"199","[[A,semagent,->],[W,provide,verb],[A,prep_to,<-]]","042"
"200","[[A,semagent,->],[W,come,verb],[A,prep_to,<-]]","042"
"201","[[A,semagent,->],[W,condemn,verb],[A,dobj,<-]]","111!"
"202","[[A,semagent,->],[W,kill,verb],[A,prep_by,<-]]","111"
"203","[[A,semagent,->],[W,fight,verb],[A,prep_from,<-]]","111"
"204","[[A,semagent,->],[W,fire,verb],[A,prep_at,<-]]","190"
"205","[[A,semagent,->],[W,recognize,verb],[A,dobj,<-]]","111"
"206","[[A,semagent,->],[W,condemn,verb],[A,prep_in,<-]]","111"
"207","[[A,semagent,->],[W,kill,verb],[A,prep_in,<-]]","111"
"208","[[A,semagent,->],[W,call,verb],[A,prep_on,<-]]","020"
"209","[[A,semagent,->],[W,fire,verb],[A,prep_into,<-]]","111"
"210","[[A,semagent,->],[W,kill,verb],[A,dobj,<-]]","190"
"211","[[A,semagent,->],[W,fight,verb],[A,advcl,<-],[W,win,verb],[A,prep_from,<-]]","111"
"212","[[A,semagent,->],[W,condemn,verb],[A,prep_on,<-]]","111"
"213","[[A,semagent,->],[W,fight,verb],[A,advcl,<-],[W,gain,verb],[A,prep_from,<-]]","111"
"214","[[A,semagent,->],[W,say,verb],[A,dobj,<-]]","111"
"215","[[A,semagent,->],[W,condemn,verb],[A,dobj,<-],[W,attack,noun],[A,prep_in,<-]]","111"
"216","[[A,semagent,->],[W,denounce,verb],[A,dobj,<-]]","111"
"217","[[A,semagent,->],[W,condemn,verb],[A,prep_by,<-]]","111"
"218","[[A,semagent,->],[W,fire,verb],[A,prep_on,<-]]","111"
"219","[[A,semagent,->],[W,fight,verb],[A,prepc_since,<-],[W,gain,verb],[A,prep_from,<-]]","111"
"220","[[A,semagent,->],[W,condemn,verb],[A,dobj,<-],[W,bombing,noun],[A,prep_in,<-]]","111"
"221","[[A,semagent,->],[W,open,verb],[A,prep_on,<-]]","111"
"222","[[A,semagent,->],[W,slam,verb],[A,dobj,<-]]","111"
"223","[[A,semagent,->],[W,clash,verb],[A,prep_with,<-]]","175"
"224","[[A,semagent,->],[W,attack,verb],[A,dobj,<-]]","190"
"225","[[A,semagent,->],[W,condemn,verb],[A,dobj,<-],[W,attack,noun],[A,prep_on,<-]]","111"
"226","[[A,semagent,->],[W,accuse,verb],[A,dobj,<-]]","112"
"227","[[A,semagent,->],[W,say,verb],[A,ccomp,<-],[W,kill,verb],[A,prep_in,<-]]","111"
"228","[[A,semagent,->],[W,report,verb],[A,dobj,<-]]","111"
"229","[[A,semagent,->],[W,call,verb],[A,prep_for,<-]]","020"
"230","[[A,semagent,->],[W,refuse,verb],[A,xcomp,<-],[W,recognize,verb],[A,dobj,<-]]","111"
"231","[[A,semagent,->],[W,hit,verb],[A,dobj,<-]]","111"
"232","[[A,semagent,->],[W,say,verb],[A,ccomp,<-],[W,fire,verb],[A,prep_at,<-]]","111"
"233","[[A,semagent,->],[W,say,verb],[A,ccomp,<-],[W,recognize,verb],[A,dobj,<-]]","051"
"234","[[A,semagent,->],[W,end,verb],[A,dobj,<-]]","111"
"235","[[A,semagent,->],[W,throw,verb],[A,prep_at,<-]]","111"
"236","[[A,semagent,->],[W,shoot,verb],[A,acomp,<-],[W,dead,adj],[A,prep_by,<-]]","111"
"237","[[A,semagent,->],[W,urge,verb],[A,dobj,<-]]","020"
"238","[[A,semagent,->],[W,wound,verb],[A,prep_by,<-]]","111"
"239","[[A,semagent,->],[W,kill,verb],[A,prep_with,<-]]","111"
"240","[[A,semagent,->],[W,criticise,verb],[A,prep_by,<-]]","111"
"241","[[A,semagent,->],[W,condemn,verb],[A,dobj,<-],[W,assassination,noun],[A,prep_of,<-]]","018"
"242","[[A,semagent,->],[W,run,verb],[A,advcl,<-],[W,end,verb],[A,dobj,<-]]","111"
"243","[[A,semagent,->],[W,recognize,verb],[A,dobj,<-],[W,sovereignty,noun],[A,poss,<-]]","111"
"244","[[A,semagent,->],[W,say,verb],[A,ccomp,<-],[W,fire,verb],[A,prep_on,<-]]","111"
"245","[[A,semagent,->],[W,administer,verb],[A,advcl,<-],[W,halt,verb],[A,dobj,<-]]","111"
"246","[[A,semagent,->],[W,run,verb],[A,advcl,<-],[W,halt,verb],[A,dobj,<-]]","111"
"247","[[A,semagent,->],[W,call,verb],[A,prep_for,<-],[W,destruction,noun],[A,poss,<-]]","111"
"248","[[A,semagent,->],[W,kill,verb],[A,prep_during,<-]]","111"
"249","[[A,semagent,->],[W,recognize,verb],[A,dobj,<-],[W,independence,noun],[A,poss,<-]]","111"
"250","[[A,semagent,->],[W,run,verb],[A,advcl,<-],[W,bomb,verb],[A,xcomp,<-],[W,stop,verb],[A,prep_on,<-]]","111"
"251","[[A,semagent,->],[W,sign,verb],[A,prep_with,<-]]","057"
"252","[[A,semagent,->],[W,join,verb],[A,dobj,<-]]","051"
"253","[[A,semagent,->],[W,ally,noun],[A,prep_of,<-]]","051"
"254","[[A,semagent,->],[W,back,verb],[A,dobj,<-]]","032"
"255","[[A,semagent,->],[W,part,noun],[A,prep_of,<-]]","051"
"256","[[A,semagent,->],[W,ally,noun],[A,poss,<-]]","051"
"257","[[A,semagent,->],[W,support,verb],[A,dobj,<-]]","051"
"258","[[A,semagent,->],[W,have,verb],[A,prep_with,<-]]","051"
"259","[[A,semagent,->],[W,provide,verb],[A,dobj,<-]]","051"
"260","[[A,semagent,->],[W,province,noun],[A,prep_of,<-]]","051"
"261","[[A,semagent,->],[W,leg,noun],[A,prep_of,<-],[W,tour,noun],[A,rcmod,<-],[W,take,verb],[A,prep_to,<-]]","051"
"262","[[A,semagent,->],[W,welcome,verb],[A,dobj,<-]]","051"
"263","[[A,semagent,->],[W,host,verb],[A,dobj,<-]]","043"
"264","[[A,semagent,->],[W,sell,verb],[A,prep_to,<-]]","051"
"265","[[A,semagent,->],[W,side,verb],[A,prep_with,<-]]","051"
"266","[[A,semagent,->],[W,provide,verb],[A,prep_to,<-]]","051"
"267","[[A,semagent,->],[W,take,verb],[A,prep_from,<-]]","051"
"268","[[A,semagent,->],[W,supplier,noun],[A,prep_to,<-]]","051"
"269","[[A,semagent,->],[W,maintain,verb],[A,prep_with,<-]]","051"
"270","[[A,semagent,->],[W,allow,verb],[A,dobj,<-]]","051"
"271","[[A,semagent,->],[W,declare,verb],[A,prep_from,<-]]","051"
"272","[[A,semagent,->],[W,buy,verb],[A,dobj,<-]]","051"
"273","[[A,semagent,->],[W,have,verb],[A,dobj,<-],[W,relation,noun],[A,prep_with,<-]]","051"
"274","[[A,semagent,->],[W,reach,verb],[A,prep_with,<-]]","051"
"275","[[A,semagent,->],[W,help,verb],[A,dobj,<-]]","051"
"276","[[A,semagent,->],[W,receive,verb],[A,prep_from,<-]]","051"
"277","[[A,semagent,->],[W,buy,verb],[A,prep_from,<-]]","051"
"278","[[A,semagent,->],[W,rely,verb],[A,prep_on,<-]]","051"
"279","[[A,semagent,->],[W,have,verb],[A,dobj,<-]]","051"
"280","[[A,semagent,->],[W,send,verb],[A,prep_to,<-]]","051"
"281","[[A,semagent,->],[W,member,noun],[A,prep_along_with,<-]]","051"
"282","[[A,semagent,->],[W,win,verb],[A,prep_from,<-]]","051"
"283","[[A,semagent,->],[W,gain,verb],[A,prep_from,<-]]","051"
"284","[[A,semagent,->],[W,supplier,noun],[A,poss,<-]]","051"
"285","[[A,semagent,->],[W,work,verb],[A,prep_with,<-]]","051"
"286","[[A,semagent,->],[W,offer,verb],[A,prep_to,<-]]","051"
"287","[[A,semagent,->],[W,give,verb],[A,prep_to,<-]]","051"
"288","[[A,semagent,->],[W,offer,verb],[A,dobj,<-]]","051"
"289","[[A,semagent,->],[W,give,verb],[A,iobj,<-]]","051"
"290","[[A,semagent,->],[W,have,verb],[A,dobj,<-],[W,treaty,noun],[A,prep_with,<-]]","051"
"291","[[A,semagent,->],[W,have,verb],[A,dobj,<-],[W,tie,noun],[A,prep_with,<-]]","051"
"292","[[A,semagent,->],[W,lose,verb],[A,prep_to,<-]]","051"
"293","[[A,semagent,->],[W,extradite,verb],[A,prep_to,<-]]","051"
"294","[[A,semagent,->],[W,_,verb],[A,dobj,<-]]","051"
"295","[[A,semagent,->],[W,build,verb],[A,prep_in,<-]]","051"
"296","[[A,semagent,->],[W,one,num],[A,prep_along_with,<-]]","051"
"297","[[A,semagent,->],[W,export,verb],[A,prep_to,<-]]","051"
"298","[[A,semagent,->],[W,cancel,verb],[A,prep_to,<-]]","051"
"299","[[A,semagent,->],[W,receive,verb],[A,dobj,<-]]","046"
"300","[[A,semagent,->],[W,say,verb],[A,ccomp,<-],[W,support,verb],[A,dobj,<-]]","051"
"301","[[A,semagent,->],[W,call,verb],[A,prep_on,<-]]","020"
"302","[[A,semagent,->],[W,urge,verb],[A,dobj,<-]]","020"
"303","[[A,semagent,->],[W,impose,verb],[A,prep_on,<-]]","051"
"304","[[A,semagent,->],[W,warn,verb],[A,dobj,<-]]","130"
"305","[[A,semagent,->],[W,call,verb],[A,dobj,<-]]","051"
"306","[[A,semagent,->],[W,discuss,verb],[A,dobj,<-]]","046"
"307","[[A,semagent,->],[W,give,verb],[A,dobj,<-]]","051"
"308","[[A,semagent,->],[W,give,verb],[A,iobj,<-]]","051"
"309","[[A,semagent,->],[W,say,verb],[A,dobj,<-]]","051"
"310","[[A,semagent,->],[W,call,verb],[A,prep_for,<-]]","020"
"311","[[A,semagent,->],[W,meet,verb],[A,prep_on,<-]]","051"
"312","[[A,semagent,->],[W,impose,verb],[A,prep_against,<-]]","051"
"313","[[A,semagent,->],[W,negotiate,verb],[A,prep_with,<-]]","050"
"314","[[A,semagent,->],[W,hold,verb],[A,prep_on,<-]]","051"
"315","[[A,semagent,->],[W,call,verb],[A,prep_to,<-]]","051"
"316","[[A,semagent,->],[W,suspend,verb],[A,prep_to,<-]]","051"
"317","[[A,semagent,->],[W,cut,verb],[A,prep_to,<-]]","051"
"318","[[A,semagent,->],[W,welcome,verb],[A,dobj,<-]]","051"
"319","[[A,semagent,->],[W,offer,verb],[A,iobj,<-]]","051"
"320","[[A,semagent,->],[W,appeal,verb],[A,prep_to,<-]]","020"
"321","[[A,semagent,->],[W,call,verb],[A,prep_in,<-]]","051"
"322","[[A,semagent,->],[W,give,verb],[A,prep_to,<-]]","051"
"323","[[A,semagent,->],[W,oppose,verb],[A,prep_against,<-]]","051"
"324","[[A,semagent,->],[W,invite,verb],[A,dobj,<-]]","051"
"325","[[A,semagent,->],[W,express,verb],[A,prep_in,<-]]","051"
"326","[[A,semagent,->],[W,slap,verb],[A,prep_on,<-]]","051"
"327","[[A,semagent,->],[W,impose,verb],[A,dobj,<-],[W,sanction,noun],[A,prep_on,<-]]","051"
"328","[[A,semagent,->],[W,urge,verb],[A,prep_to,<-]]","051"
"329","[[A,semagent,->],[W,approve,verb],[A,dobj,<-]]","051"
"330","[[A,semagent,->],[W,call,verb],[A,prep_from,<-]]","051"
"331","[[A,semagent,->],[W,provide,verb],[A,prep_to,<-]]","051"
"332","[[A,semagent,->],[W,hold,verb],[A,prep_with,<-]]","051"
"333","[[A,semagent,->],[W,press,verb],[A,dobj,<-]]","051"
"334","[[A,semagent,->],[W,send,verb],[A,prep_to,<-]]","051"
"335","[[A,semagent,->],[W,put,verb],[A,prep_on,<-]]","051"
"336","[[A,semagent,->],[W,condemn,verb],[A,dobj,<-]]","111!"
"337","[[A,semagent,->],[W,say,verb],[A,prep_on,<-]]","051"
"338","[[A,semagent,->],[W,oppose,verb],[A,prep_on,<-]]","051"
"339","[[A,semagent,->],[W,open,verb],[A,prep_with,<-]]","051"
"340","[[A,semagent,->],[W,ban,verb],[A,dobj,<-]]","172"
"341","[[A,semagent,->],[W,apply,verb],[A,prep_to,<-]]","051"
"342","[[A,semagent,->],[W,deliver,verb],[A,prep_to,<-]]","051"
